Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,100,17,24,1000,0
0,1,1000,1100,17,24,2000,1
0,2,2000,2100,17,24,3000,2
0,3,3000,3100,17,24,4000,3
0,4,4000,4100,17,24,5000,4
0,5,5000,5100,17,24,6000,5
0,6,6000,6100,17,24,7000,6
0,7,7000,7100,17,24,8000,7
0,8,8000,8100,17,24,9000,8
0,9,9000,9100,17,24,10000,9
1,0,0,100,56,80,1000,10
1,1,1000,1100,56,80,2000,11
1,2,2000,2100,56,80,3000,12
1,3,3000,3100,56,80,4000,13
1,4,4000,4100,56,80,5000,14
1,5,5000,5100,56,80,6000,15
1,6,6000,6100,56,80,7000,16
1,7,7000,7100,56,80,8000,17
1,8,8000,8100,56,80,9000,18
1,9,9000,9100,56,80,10000,19
2,0,0,100,79,112,1000,20
2,1,1000,1100,79,112,2000,21
2,2,2000,2100,79,112,3000,22
2,3,3000,3100,79,112,4000,23
2,4,4000,4100,79,112,5000,24
2,5,5000,5100,79,112,6000,25
2,6,6000,6100,79,112,7000,26
2,7,7000,7100,79,112,8000,27
2,8,8000,8100,79,112,9000,28
2,9,9000,9100,79,112,10000,29
3,0,0,100,23,32,1000,30
3,1,1000,1100,23,32,2000,31
3,2,2000,2100,23,32,3000,32
3,3,3000,3100,23,32,4000,33
3,4,4000,4100,23,32,5000,34
3,5,5000,5100,23,32,6000,35
3,6,6000,6100,23,32,7000,36
3,7,7000,7100,23,32,8000,37
3,8,8000,8100,23,32,9000,38
3,9,9000,9100,23,32,10000,39
4,0,0,100,59,83,2000,40
4,1,2000,2100,59,83,4000,41
4,2,4000,4100,59,83,6000,42
4,3,6000,6100,59,83,8000,43
4,4,8000,8100,59,83,10000,44
5,0,0,100,10,14,2000,45
5,1,2000,2100,10,14,4000,46
5,2,4000,4100,10,14,6000,47
5,3,6000,6100,10,14,8000,48
5,4,8000,8100,10,14,10000,49
6,0,0,100,145,206,5000,50
6,1,5000,5100,145,206,10000,51
7,0,0,100,320,457,5000,52
7,1,5000,5100,320,457,10000,53
8,0,0,100,962,1374,10000,54
9,0,0,100,933,1332,10000,55
