Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 17, 329, 17, 329
0, 1, 1017, 1203, 17, 203
0, 2, 2017, 2203, 17, 203
0, 3, 3017, 3124, 17, 124
0, 4, 4017, 4155, 17, 155
0, 5, 5017, 5203, 17, 203
0, 6, 6017, 6155, 17, 155
0, 7, 7017, 7124, 17, 124
0, 8, 8017, 8155, 17, 155
0, 9, 9017, 9124, 17, 124
1, 0, 56, 409, 56, 409
1, 1, 1056, 1235, 56, 235
1, 2, 2056, 2235, 56, 235
1, 3, 3056, 3192, 56, 192
1, 4, 4056, 4227, 56, 227
1, 5, 5056, 5235, 56, 235
1, 6, 6056, 6227, 56, 227
1, 7, 7056, 7192, 56, 192
1, 8, 8056, 8227, 56, 227
1, 9, 9056, 9192, 56, 192
2, 0, 79, 521, 79, 521
2, 1, 1079, 1279, 79, 279
2, 2, 2079, 2299, 79, 299
2, 3, 3079, 3264, 79, 264
2, 4, 4079, 4270, 79, 270
2, 5, 5079, 5279, 79, 279
2, 6, 6079, 6270, 79, 270
2, 7, 7079, 7264, 79, 264
2, 8, 8079, 8270, 79, 270
2, 9, 9079, 9264, 79, 264
3, 0, 23, 553, 23, 553
3, 1, 1023, 1240, 23, 240
3, 2, 2023, 2246, 23, 246
3, 3, 3023, 3240, 23, 240
3, 4, 4023, 4240, 23, 240
3, 5, 5023, 5240, 23, 240
3, 6, 6023, 6240, 23, 240
3, 7, 7023, 7240, 23, 240
3, 8, 8023, 8240, 23, 240
3, 9, 9023, 9240, 23, 240
4, 0, 59, 636, 59, 636
4, 1, 2059, 2307, 59, 307
4, 2, 4059, 4307, 59, 307
4, 3, 6059, 6307, 59, 307
4, 4, 8059, 8307, 59, 307
5, 0, 10, 815, 10, 815
5, 1, 2010, 2279, 10, 279
5, 2, 4010, 4279, 10, 279
5, 3, 6010, 6279, 10, 279
5, 4, 8010, 8279, 10, 279
6, 0, 145, 651, 145, 651
6, 1, 5145, 5430, 145, 430
7, 0, 320, 942, 320, 942
7, 1, 5320, 5784, 320, 784
8, 0, 962, 2002, 962, 2002
9, 0, 933, 2325, 933, 2325
