Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,0,1,1,100,0
1,0,0,0,3,4,100,100
2,0,0,0,59,83,1000,200
3,0,0,0,11,15,1000,210
4,0,0,0,36,51,1000,220
5,0,0,0,35,49,1000,230
6,0,0,0,2,2,2000,240
7,0,0,0,67,95,2000,245
8,0,0,0,50,71,2000,250
9,0,0,0,14,19,5000,255
10,0,0,0,413,589,10000,257
11,0,0,0,549,784,10000,258
12,0,0,0,77,110,10000,259
13,0,0,0,10,13,10000,260
14,0,0,0,162,231,10000,261
0,1,100,100,1,1,200,1
1,1,100,100,3,4,200,101
0,2,200,200,1,1,300,2
1,2,200,200,3,4,300,102
0,3,300,300,1,1,400,3
1,3,300,300,3,4,400,103
0,4,400,400,1,1,500,4
1,4,400,400,3,4,500,104
0,5,500,500,1,1,600,5
1,5,500,500,3,4,600,105
0,6,600,600,1,1,700,6
1,6,600,600,3,4,700,106
0,7,700,700,1,1,800,7
1,7,700,700,3,4,800,107
0,8,800,800,1,1,900,8
1,8,800,800,3,4,900,108
0,9,900,900,1,1,1000,9
1,9,900,900,3,4,1000,109
0,10,1000,1000,1,1,1100,10
1,10,1000,1000,3,4,1100,110
2,1,1000,1000,59,83,2000,201
3,1,1000,1000,11,15,2000,211
4,1,1000,1000,36,51,2000,221
5,1,1000,1000,35,49,2000,231
0,11,1100,1100,1,1,1200,11
1,11,1100,1100,3,4,1200,111
0,12,1200,1200,1,1,1300,12
1,12,1200,1200,3,4,1300,112
0,13,1300,1300,1,1,1400,13
1,13,1300,1300,3,4,1400,113
0,14,1400,1400,1,1,1500,14
1,14,1400,1400,3,4,1500,114
0,15,1500,1500,1,1,1600,15
1,15,1500,1500,3,4,1600,115
0,16,1600,1600,1,1,1700,16
1,16,1600,1600,3,4,1700,116
0,17,1700,1700,1,1,1800,17
1,17,1700,1700,3,4,1800,117
0,18,1800,1800,1,1,1900,18
1,18,1800,1800,3,4,1900,118
0,19,1900,1900,1,1,2000,19
1,19,1900,1900,3,4,2000,119
0,20,2000,2000,1,1,2100,20
1,20,2000,2000,3,4,2100,120
2,2,2000,2000,59,83,3000,202
3,2,2000,2000,11,15,3000,212
4,2,2000,2000,36,51,3000,222
5,2,2000,2000,35,49,3000,232
6,1,2000,2000,2,2,4000,241
7,1,2000,2000,67,95,4000,246
8,1,2000,2000,50,71,4000,251
0,21,2100,2100,1,1,2200,21
1,21,2100,2100,3,4,2200,121
0,22,2200,2200,1,1,2300,22
1,22,2200,2200,3,4,2300,122
0,23,2300,2300,1,1,2400,23
1,23,2300,2300,3,4,2400,123
0,24,2400,2400,1,1,2500,24
1,24,2400,2400,3,4,2500,124
0,25,2500,2500,1,1,2600,25
1,25,2500,2500,3,4,2600,125
0,26,2600,2600,1,1,2700,26
1,26,2600,2600,3,4,2700,126
0,27,2700,2700,1,1,2800,27
1,27,2700,2700,3,4,2800,127
0,28,2800,2800,1,1,2900,28
1,28,2800,2800,3,4,2900,128
0,29,2900,2900,1,1,3000,29
1,29,2900,2900,3,4,3000,129
0,30,3000,3000,1,1,3100,30
1,30,3000,3000,3,4,3100,130
2,3,3000,3000,59,83,4000,203
3,3,3000,3000,11,15,4000,213
4,3,3000,3000,36,51,4000,223
5,3,3000,3000,35,49,4000,233
0,31,3100,3100,1,1,3200,31
1,31,3100,3100,3,4,3200,131
0,32,3200,3200,1,1,3300,32
1,32,3200,3200,3,4,3300,132
0,33,3300,3300,1,1,3400,33
1,33,3300,3300,3,4,3400,133
0,34,3400,3400,1,1,3500,34
1,34,3400,3400,3,4,3500,134
0,35,3500,3500,1,1,3600,35
1,35,3500,3500,3,4,3600,135
0,36,3600,3600,1,1,3700,36
1,36,3600,3600,3,4,3700,136
0,37,3700,3700,1,1,3800,37
1,37,3700,3700,3,4,3800,137
0,38,3800,3800,1,1,3900,38
1,38,3800,3800,3,4,3900,138
0,39,3900,3900,1,1,4000,39
1,39,3900,3900,3,4,4000,139
0,40,4000,4000,1,1,4100,40
1,40,4000,4000,3,4,4100,140
2,4,4000,4000,59,83,5000,204
3,4,4000,4000,11,15,5000,214
4,4,4000,4000,36,51,5000,224
5,4,4000,4000,35,49,5000,234
6,2,4000,4000,2,2,6000,242
7,2,4000,4000,67,95,6000,247
8,2,4000,4000,50,71,6000,252
0,41,4100,4100,1,1,4200,41
1,41,4100,4100,3,4,4200,141
0,42,4200,4200,1,1,4300,42
1,42,4200,4200,3,4,4300,142
0,43,4300,4300,1,1,4400,43
1,43,4300,4300,3,4,4400,143
0,44,4400,4400,1,1,4500,44
1,44,4400,4400,3,4,4500,144
0,45,4500,4500,1,1,4600,45
1,45,4500,4500,3,4,4600,145
0,46,4600,4600,1,1,4700,46
1,46,4600,4600,3,4,4700,146
0,47,4700,4700,1,1,4800,47
1,47,4700,4700,3,4,4800,147
0,48,4800,4800,1,1,4900,48
1,48,4800,4800,3,4,4900,148
0,49,4900,4900,1,1,5000,49
1,49,4900,4900,3,4,5000,149
0,50,5000,5000,1,1,5100,50
1,50,5000,5000,3,4,5100,150
2,5,5000,5000,59,83,6000,205
3,5,5000,5000,11,15,6000,215
4,5,5000,5000,36,51,6000,225
5,5,5000,5000,35,49,6000,235
9,1,5000,5000,14,19,10000,256
0,51,5100,5100,1,1,5200,51
1,51,5100,5100,3,4,5200,151
0,52,5200,5200,1,1,5300,52
1,52,5200,5200,3,4,5300,152
0,53,5300,5300,1,1,5400,53
1,53,5300,5300,3,4,5400,153
0,54,5400,5400,1,1,5500,54
1,54,5400,5400,3,4,5500,154
0,55,5500,5500,1,1,5600,55
1,55,5500,5500,3,4,5600,155
0,56,5600,5600,1,1,5700,56
1,56,5600,5600,3,4,5700,156
0,57,5700,5700,1,1,5800,57
1,57,5700,5700,3,4,5800,157
0,58,5800,5800,1,1,5900,58
1,58,5800,5800,3,4,5900,158
0,59,5900,5900,1,1,6000,59
1,59,5900,5900,3,4,6000,159
0,60,6000,6000,1,1,6100,60
1,60,6000,6000,3,4,6100,160
2,6,6000,6000,59,83,7000,206
3,6,6000,6000,11,15,7000,216
4,6,6000,6000,36,51,7000,226
5,6,6000,6000,35,49,7000,236
6,3,6000,6000,2,2,8000,243
7,3,6000,6000,67,95,8000,248
8,3,6000,6000,50,71,8000,253
0,61,6100,6100,1,1,6200,61
1,61,6100,6100,3,4,6200,161
0,62,6200,6200,1,1,6300,62
1,62,6200,6200,3,4,6300,162
0,63,6300,6300,1,1,6400,63
1,63,6300,6300,3,4,6400,163
0,64,6400,6400,1,1,6500,64
1,64,6400,6400,3,4,6500,164
0,65,6500,6500,1,1,6600,65
1,65,6500,6500,3,4,6600,165
0,66,6600,6600,1,1,6700,66
1,66,6600,6600,3,4,6700,166
0,67,6700,6700,1,1,6800,67
1,67,6700,6700,3,4,6800,167
0,68,6800,6800,1,1,6900,68
1,68,6800,6800,3,4,6900,168
0,69,6900,6900,1,1,7000,69
1,69,6900,6900,3,4,7000,169
0,70,7000,7000,1,1,7100,70
1,70,7000,7000,3,4,7100,170
2,7,7000,7000,59,83,8000,207
3,7,7000,7000,11,15,8000,217
4,7,7000,7000,36,51,8000,227
5,7,7000,7000,35,49,8000,237
0,71,7100,7100,1,1,7200,71
1,71,7100,7100,3,4,7200,171
0,72,7200,7200,1,1,7300,72
1,72,7200,7200,3,4,7300,172
0,73,7300,7300,1,1,7400,73
1,73,7300,7300,3,4,7400,173
