Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 4, 5, 4, 5
1, 0, 7, 10, 7, 10
2, 0, 3, 3, 3, 3
3, 0, 23, 32, 23, 32
4, 0, 51, 71, 51, 71
5, 0, 7, 8, 7, 8
6, 0, 30, 40, 30, 40
7, 0, 121, 172, 121, 172
8, 0, 30, 42, 30, 42
9, 0, 58, 80, 58, 80
10, 0, 217, 309, 217, 309
11, 0, 212, 300, 212, 300
12, 0, 172, 242, 172, 242
13, 0, 324, 460, 324, 460
14, 0, 539, 768, 539, 768
0, 1, 125, 177, 25, 77
0, 2, 204, 247, 4, 47
1, 1, 207, 253, 7, 53
0, 3, 304, 387, 4, 87
0, 4, 404, 405, 4, 5
1, 2, 407, 411, 7, 11
0, 5, 504, 505, 4, 5
0, 6, 604, 605, 4, 5
1, 3, 607, 610, 7, 10
0, 7, 704, 705, 4, 5
0, 8, 804, 805, 4, 5
1, 4, 807, 810, 7, 10
0, 9, 904, 905, 4, 5
0, 10, 1004, 1005, 4, 5
1, 5, 1007, 1010, 7, 10
2, 1, 1003, 1003, 3, 3
3, 1, 1023, 1032, 23, 32
4, 1, 1048, 1068, 48, 68
5, 1, 1003, 1005, 3, 5
0, 11, 1104, 1105, 4, 5
0, 12, 1204, 1205, 4, 5
1, 6, 1207, 1210, 7, 10
0, 13, 1304, 1305, 4, 5
0, 14, 1404, 1405, 4, 5
1, 7, 1407, 1410, 7, 10
0, 15, 1504, 1505, 4, 5
0, 16, 1604, 1605, 4, 5
1, 8, 1607, 1610, 7, 10
0, 17, 1704, 1705, 4, 5
0, 18, 1804, 1805, 4, 5
1, 9, 1807, 1810, 7, 10
0, 19, 1904, 1905, 4, 5
0, 20, 2004, 2005, 4, 5
1, 10, 2007, 2010, 7, 10
2, 2, 2003, 2003, 3, 3
3, 2, 2023, 2032, 23, 32
4, 2, 2048, 2068, 48, 68
5, 2, 2003, 2005, 3, 5
6, 1, 2023, 2034, 23, 34
7, 1, 2114, 2167, 114, 167
8, 1, 2007, 2023, 7, 23
9, 1, 2028, 2055, 28, 55
0, 21, 2104, 2105, 4, 5
0, 22, 2204, 2205, 4, 5
1, 11, 2207, 2210, 7, 10
0, 23, 2304, 2305, 4, 5
0, 24, 2404, 2405, 4, 5
1, 12, 2407, 2410, 7, 10
0, 25, 2504, 2505, 4, 5
0, 26, 2604, 2605, 4, 5
1, 13, 2607, 2610, 7, 10
0, 27, 2704, 2705, 4, 5
0, 28, 2804, 2805, 4, 5
1, 14, 2807, 2810, 7, 10
0, 29, 2904, 2905, 4, 5
0, 30, 3004, 3005, 4, 5
1, 15, 3007, 3010, 7, 10
2, 3, 3003, 3003, 3, 3
3, 3, 3023, 3032, 23, 32
4, 3, 3048, 3068, 48, 68
5, 3, 3003, 3005, 3, 5
0, 31, 3104, 3105, 4, 5
0, 32, 3204, 3205, 4, 5
1, 16, 3207, 3210, 7, 10
0, 33, 3304, 3305, 4, 5
0, 34, 3404, 3405, 4, 5
1, 17, 3407, 3410, 7, 10
0, 35, 3504, 3505, 4, 5
0, 36, 3604, 3605, 4, 5
1, 18, 3607, 3610, 7, 10
0, 37, 3704, 3705, 4, 5
0, 38, 3804, 3805, 4, 5
1, 19, 3807, 3810, 7, 10
0, 39, 3904, 3905, 4, 5
0, 40, 4004, 4005, 4, 5
1, 20, 4007, 4010, 7, 10
2, 4, 4003, 4003, 3, 3
3, 4, 4023, 4032, 23, 32
4, 4, 4048, 4068, 48, 68
5, 4, 4003, 4005, 3, 5
6, 2, 4023, 4034, 23, 34
7, 2, 4114, 4167, 114, 167
8, 2, 4007, 4023, 7, 23
9, 2, 4028, 4055, 28, 55
0, 41, 4104, 4105, 4, 5
0, 42, 4204, 4205, 4, 5
1, 21, 4207, 4210, 7, 10
0, 43, 4304, 4305, 4, 5
0, 44, 4404, 4405, 4, 5
1, 22, 4407, 4410, 7, 10
0, 45, 4504, 4505, 4, 5
0, 46, 4604, 4605, 4, 5
1, 23, 4607, 4610, 7, 10
0, 47, 4704, 4705, 4, 5
0, 48, 4804, 4805, 4, 5
1, 24, 4807, 4810, 7, 10
0, 49, 4904, 4905, 4, 5
0, 50, 5004, 5005, 4, 5
1, 25, 5007, 5010, 7, 10
2, 5, 5003, 5003, 3, 3
3, 5, 5023, 5032, 23, 32
4, 5, 5048, 5068, 48, 68
5, 5, 5003, 5005, 3, 5
10, 1, 5187, 5269, 187, 269
0, 51, 5104, 5105, 4, 5
0, 52, 5204, 5205, 4, 5
1, 26, 5207, 5210, 7, 10
0, 53, 5304, 5305, 4, 5
0, 54, 5404, 5405, 4, 5
1, 27, 5407, 5410, 7, 10
0, 55, 5504, 5505, 4, 5
0, 56, 5604, 5605, 4, 5
1, 28, 5607, 5610, 7, 10
0, 57, 5704, 5705, 4, 5
0, 58, 5804, 5805, 4, 5
1, 29, 5807, 5810, 7, 10
0, 59, 5904, 5905, 4, 5
0, 60, 6004, 6005, 4, 5
1, 30, 6007, 6010, 7, 10
2, 6, 6003, 6003, 3, 3
3, 6, 6023, 6032, 23, 32
4, 6, 6048, 6068, 48, 68
5, 6, 6003, 6005, 3, 5
6, 3, 6023, 6034, 23, 34
7, 3, 6114, 6167, 114, 167
8, 3, 6007, 6023, 7, 23
9, 3, 6028, 6055, 28, 55
0, 61, 6104, 6105, 4, 5
0, 62, 6204, 6205, 4, 5
1, 31, 6207, 6210, 7, 10
0, 63, 6304, 6305, 4, 5
0, 64, 6404, 6405, 4, 5
1, 32, 6407, 6410, 7, 10
0, 65, 6504, 6505, 4, 5
0, 66, 6604, 6605, 4, 5
1, 33, 6607, 6610, 7, 10
0, 67, 6704, 6705, 4, 5
0, 68, 6804, 6805, 4, 5
1, 34, 6807, 6810, 7, 10
0, 69, 6904, 6905, 4, 5
0, 70, 7004, 7005, 4, 5
1, 35, 7007, 7010, 7, 10
2, 7, 7003, 7003, 3, 3
3, 7, 7023, 7032, 23, 32
4, 7, 7048, 7068, 48, 68
5, 7, 7003, 7005, 3, 5
0, 71, 7104, 7105, 4, 5
0, 72, 7204, 7205, 4, 5
1, 36, 7207, 7210, 7, 10
0, 73, 7304, 7305, 4, 5
0, 74, 7404, 7405, 4, 5
1, 37, 7407, 7410, 7, 10
0, 75, 7504, 7505, 4, 5
0, 76, 7604, 7605, 4, 5
1, 38, 7607, 7610, 7, 10
0, 77, 7704, 7705, 4, 5
0, 78, 7804, 7805, 4, 5
1, 39, 7807, 7810, 7, 10
0, 79, 7904, 7905, 4, 5
0, 80, 8004, 8005, 4, 5
1, 40, 8007, 8010, 7, 10
2, 8, 8003, 8003, 3, 3
3, 8, 8023, 8032, 23, 32
4, 8, 8048, 8068, 48, 68
5, 8, 8003, 8005, 3, 5
6, 4, 8023, 8034, 23, 34
7, 4, 8114, 8167, 114, 167
8, 4, 8007, 8023, 7, 23
9, 4, 8028, 8055, 28, 55
0, 81, 8104, 8105, 4, 5
0, 82, 8204, 8205, 4, 5
1, 41, 8207, 8210, 7, 10
0, 83, 8304, 8305, 4, 5
0, 84, 8404, 8405, 4, 5
1, 42, 8407, 8410, 7, 10
0, 85, 8504, 8505, 4, 5
0, 86, 8604, 8605, 4, 5
1, 43, 8607, 8610, 7, 10
0, 87, 8704, 8705, 4, 5
0, 88, 8804, 8805, 4, 5
1, 44, 8807, 8810, 7, 10
0, 89, 8904, 8905, 4, 5
0, 90, 9004, 9005, 4, 5
1, 45, 9007, 9010, 7, 10
2, 9, 9003, 9003, 3, 3
3, 9, 9023, 9032, 23, 32
4, 9, 9048, 9068, 48, 68
5, 9, 9003, 9005, 3, 5
0, 91, 9104, 9105, 4, 5
0, 92, 9204, 9205, 4, 5
1, 46, 9207, 9210, 7, 10
0, 93, 9304, 9305, 4, 5
0, 94, 9404, 9405, 4, 5
1, 47, 9407, 9410, 7, 10
0, 95, 9504, 9505, 4, 5
0, 96, 9604, 9605, 4, 5
1, 48, 9607, 9610, 7, 10
0, 97, 9704, 9705, 4, 5
0, 98, 9804, 9805, 4, 5
1, 49, 9807, 9810, 7, 10
0, 99, 9904, 9905, 4, 5
