Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,100,103,147,1000,0
1,0,0,100,59,83,1000,100
2,0,0,100,161,229,1000,200
3,0,0,100,67,95,2000,300
4,0,0,100,45,63,2000,350
5,0,0,100,169,241,5000,400
6,0,0,100,1431,2043,10000,420
7,0,0,100,973,1389,10000,430
8,0,0,100,430,614,10000,440
9,0,0,100,603,861,100000,450
0,1,1000,1100,103,147,2000,1
1,1,1000,1100,59,83,2000,101
2,1,1000,1100,161,229,2000,201
0,2,2000,2100,103,147,3000,2
1,2,2000,2100,59,83,3000,102
2,2,2000,2100,161,229,3000,202
3,1,2000,2100,67,95,4000,301
4,1,2000,2100,45,63,4000,351
0,3,3000,3100,103,147,4000,3
1,3,3000,3100,59,83,4000,103
2,3,3000,3100,161,229,4000,203
0,4,4000,4100,103,147,5000,4
1,4,4000,4100,59,83,5000,104
2,4,4000,4100,161,229,5000,204
3,2,4000,4100,67,95,6000,302
4,2,4000,4100,45,63,6000,352
0,5,5000,5100,103,147,6000,5
1,5,5000,5100,59,83,6000,105
2,5,5000,5100,161,229,6000,205
5,1,5000,5100,169,241,10000,401
0,6,6000,6100,103,147,7000,6
1,6,6000,6100,59,83,7000,106
2,6,6000,6100,161,229,7000,206
3,3,6000,6100,67,95,8000,303
4,3,6000,6100,45,63,8000,353
0,7,7000,7100,103,147,8000,7
1,7,7000,7100,59,83,8000,107
2,7,7000,7100,161,229,8000,207
0,8,8000,8100,103,147,9000,8
1,8,8000,8100,59,83,9000,108
2,8,8000,8100,161,229,9000,208
3,4,8000,8100,67,95,10000,304
4,4,8000,8100,45,63,10000,354
0,9,9000,9100,103,147,10000,9
1,9,9000,9100,59,83,10000,109
2,9,9000,9100,161,229,10000,209
0,10,10000,10100,103,147,11000,10
1,10,10000,10100,59,83,11000,110
2,10,10000,10100,161,229,11000,210
3,5,10000,10100,67,95,12000,305
4,5,10000,10100,45,63,12000,355
5,2,10000,10100,169,241,15000,402
6,1,10000,10100,1431,2043,20000,421
7,1,10000,10100,973,1389,20000,431
8,1,10000,10100,430,614,20000,441
0,11,11000,11100,103,147,12000,11
1,11,11000,11100,59,83,12000,111
2,11,11000,11100,161,229,12000,211
0,12,12000,12100,103,147,13000,12
1,12,12000,12100,59,83,13000,112
2,12,12000,12100,161,229,13000,212
3,6,12000,12100,67,95,14000,306
4,6,12000,12100,45,63,14000,356
0,13,13000,13100,103,147,14000,13
1,13,13000,13100,59,83,14000,113
2,13,13000,13100,161,229,14000,213
0,14,14000,14100,103,147,15000,14
1,14,14000,14100,59,83,15000,114
2,14,14000,14100,161,229,15000,214
3,7,14000,14100,67,95,16000,307
4,7,14000,14100,45,63,16000,357
0,15,15000,15100,103,147,16000,15
1,15,15000,15100,59,83,16000,115
2,15,15000,15100,161,229,16000,215
5,3,15000,15100,169,241,20000,403
0,16,16000,16100,103,147,17000,16
1,16,16000,16100,59,83,17000,116
2,16,16000,16100,161,229,17000,216
3,8,16000,16100,67,95,18000,308
4,8,16000,16100,45,63,18000,358
0,17,17000,17100,103,147,18000,17
1,17,17000,17100,59,83,18000,117
2,17,17000,17100,161,229,18000,217
0,18,18000,18100,103,147,19000,18
1,18,18000,18100,59,83,19000,118
2,18,18000,18100,161,229,19000,218
3,9,18000,18100,67,95,20000,309
4,9,18000,18100,45,63,20000,359
0,19,19000,19100,103,147,20000,19
1,19,19000,19100,59,83,20000,119
2,19,19000,19100,161,229,20000,219
0,20,20000,20100,103,147,21000,20
1,20,20000,20100,59,83,21000,120
2,20,20000,20100,161,229,21000,220
3,10,20000,20100,67,95,22000,310
4,10,20000,20100,45,63,22000,360
5,4,20000,20100,169,241,25000,404
6,2,20000,20100,1431,2043,30000,422
7,2,20000,20100,973,1389,30000,432
8,2,20000,20100,430,614,30000,442
0,21,21000,21100,103,147,22000,21
1,21,21000,21100,59,83,22000,121
2,21,21000,21100,161,229,22000,221
0,22,22000,22100,103,147,23000,22
1,22,22000,22100,59,83,23000,122
2,22,22000,22100,161,229,23000,222
3,11,22000,22100,67,95,24000,311
4,11,22000,22100,45,63,24000,361
0,23,23000,23100,103,147,24000,23
1,23,23000,23100,59,83,24000,123
2,23,23000,23100,161,229,24000,223
0,24,24000,24100,103,147,25000,24
1,24,24000,24100,59,83,25000,124
2,24,24000,24100,161,229,25000,224
3,12,24000,24100,67,95,26000,312
4,12,24000,24100,45,63,26000,362
0,25,25000,25100,103,147,26000,25
1,25,25000,25100,59,83,26000,125
2,25,25000,25100,161,229,26000,225
5,5,25000,25100,169,241,30000,405
0,26,26000,26100,103,147,27000,26
1,26,26000,26100,59,83,27000,126
2,26,26000,26100,161,229,27000,226
3,13,26000,26100,67,95,28000,313
4,13,26000,26100,45,63,28000,363
0,27,27000,27100,103,147,28000,27
1,27,27000,27100,59,83,28000,127
2,27,27000,27100,161,229,28000,227
0,28,28000,28100,103,147,29000,28
1,28,28000,28100,59,83,29000,128
2,28,28000,28100,161,229,29000,228
3,14,28000,28100,67,95,30000,314
4,14,28000,28100,45,63,30000,364
0,29,29000,29100,103,147,30000,29
1,29,29000,29100,59,83,30000,129
2,29,29000,29100,161,229,30000,229
0,30,30000,30100,103,147,31000,30
1,30,30000,30100,59,83,31000,130
2,30,30000,30100,161,229,31000,230
3,15,30000,30100,67,95,32000,315
4,15,30000,30100,45,63,32000,365
5,6,30000,30100,169,241,35000,406
6,3,30000,30100,1431,2043,40000,423
7,3,30000,30100,973,1389,40000,433
8,3,30000,30100,430,614,40000,443
0,31,31000,31100,103,147,32000,31
1,31,31000,31100,59,83,32000,131
2,31,31000,31100,161,229,32000,231
0,32,32000,32100,103,147,33000,32
1,32,32000,32100,59,83,33000,132
2,32,32000,32100,161,229,33000,232
3,16,32000,32100,67,95,34000,316
4,16,32000,32100,45,63,34000,366
0,33,33000,33100,103,147,34000,33
1,33,33000,33100,59,83,34000,133
2,33,33000,33100,161,229,34000,233
0,34,34000,34100,103,147,35000,34
1,34,34000,34100,59,83,35000,134
2,34,34000,34100,161,229,35000,234
3,17,34000,34100,67,95,36000,317
4,17,34000,34100,45,63,36000,367
0,35,35000,35100,103,147,36000,35
1,35,35000,35100,59,83,36000,135
2,35,35000,35100,161,229,36000,235
5,7,35000,35100,169,241,40000,407
0,36,36000,36100,103,147,37000,36
1,36,36000,36100,59,83,37000,136
2,36,36000,36100,161,229,37000,236
3,18,36000,36100,67,95,38000,318
4,18,36000,36100,45,63,38000,368
0,37,37000,37100,103,147,38000,37
1,37,37000,37100,59,83,38000,137
2,37,37000,37100,161,229,38000,237
0,38,38000,38100,103,147,39000,38
1,38,38000,38100,59,83,39000,138
2,38,38000,38100,161,229,39000,238
3,19,38000,38100,67,95,40000,319
4,19,38000,38100,45,63,40000,369
0,39,39000,39100,103,147,40000,39
1,39,39000,39100,59,83,40000,139
2,39,39000,39100,161,229,40000,239
0,40,40000,40100,103,147,41000,40
1,40,40000,40100,59,83,41000,140
2,40,40000,40100,161,229,41000,240
3,20,40000,40100,67,95,42000,320
4,20,40000,40100,45,63,42000,370
5,8,40000,40100,169,241,45000,408
6,4,40000,40100,1431,2043,50000,424
7,4,40000,40100,973,1389,50000,434
8,4,40000,40100,430,614,50000,444
0,41,41000,41100,103,147,42000,41
1,41,41000,41100,59,83,42000,141
2,41,41000,41100,161,229,42000,241
0,42,42000,42100,103,147,43000,42
1,42,42000,42100,59,83,43000,142
2,42,42000,42100,161,229,43000,242
3,21,42000,42100,67,95,44000,321
4,21,42000,42100,45,63,44000,371
0,43,43000,43100,103,147,44000,43
1,43,43000,43100,59,83,44000,143
2,43,43000,43100,161,229,44000,243
0,44,44000,44100,103,147,45000,44
1,44,44000,44100,59,83,45000,144
2,44,44000,44100,161,229,45000,244
3,22,44000,44100,67,95,46000,322
4,22,44000,44100,45,63,46000,372
0,45,45000,45100,103,147,46000,45
1,45,45000,45100,59,83,46000,145
2,45,45000,45100,161,229,46000,245
5,9,45000,45100,169,241,50000,409
0,46,46000,46100,103,147,47000,46
1,46,46000,46100,59,83,47000,146
2,46,46000,46100,161,229,47000,246
3,23,46000,46100,67,95,48000,323
4,23,46000,46100,45,63,48000,373
0,47,47000,47100,103,147,48000,47
1,47,47000,47100,59,83,48000,147
2,47,47000,47100,161,229,48000,247
0,48,48000,48100,103,147,49000,48
1,48,48000,48100,59,83,49000,148
2,48,48000,48100,161,229,49000,248
3,24,48000,48100,67,95,50000,324
4,24,48000,48100,45,63,50000,374
0,49,49000,49100,103,147,50000,49
1,49,49000,49100,59,83,50000,149
2,49,49000,49100,161,229,50000,249
0,50,50000,50100,103,147,51000,50
1,50,50000,50100,59,83,51000,150
2,50,50000,50100,161,229,51000,250
3,25,50000,50100,67,95,52000,325
