Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,0,240,342,1000,0
1,0,0,0,56,80,1000,1
2,0,0,0,19,27,1000,2
3,0,0,0,81,115,1000,3
4,0,0,0,70,99,1000,4
5,0,0,0,98,139,1000,5
6,0,0,0,27,38,1000,6
7,0,0,0,261,372,1000,7
8,0,0,0,126,180,2000,16
9,0,0,0,157,223,2000,17
10,0,0,0,136,193,2000,18
11,0,0,0,208,296,2000,19
12,0,0,0,138,196,2000,20
13,0,0,0,646,922,2000,21
14,0,0,0,327,466,2000,22
15,0,0,0,93,132,2000,23
16,0,0,0,61,86,5000,56
17,0,0,0,283,404,5000,57
18,0,0,0,654,933,10000,124
19,0,0,0,648,925,10000,125
0,1,1000,1000,240,342,2000,8
1,1,1000,1000,56,80,2000,9
2,1,1000,1000,19,27,2000,10
3,1,1000,1000,81,115,2000,11
4,1,1000,1000,70,99,2000,12
5,1,1000,1000,98,139,2000,13
6,1,1000,1000,27,38,2000,14
7,1,1000,1000,261,372,2000,15
0,2,2000,2000,240,342,3000,24
1,2,2000,2000,56,80,3000,25
2,2,2000,2000,19,27,3000,26
3,2,2000,2000,81,115,3000,27
4,2,2000,2000,70,99,3000,28
5,2,2000,2000,98,139,3000,29
6,2,2000,2000,27,38,3000,30
7,2,2000,2000,261,372,3000,31
8,1,2000,2000,126,180,4000,40
9,1,2000,2000,157,223,4000,41
10,1,2000,2000,136,193,4000,42
11,1,2000,2000,208,296,4000,43
12,1,2000,2000,138,196,4000,44
13,1,2000,2000,646,922,4000,45
14,1,2000,2000,327,466,4000,46
15,1,2000,2000,93,132,4000,47
0,3,3000,3000,240,342,4000,32
1,3,3000,3000,56,80,4000,33
2,3,3000,3000,19,27,4000,34
3,3,3000,3000,81,115,4000,35
4,3,3000,3000,70,99,4000,36
5,3,3000,3000,98,139,4000,37
6,3,3000,3000,27,38,4000,38
7,3,3000,3000,261,372,4000,39
0,4,4000,4000,240,342,5000,48
1,4,4000,4000,56,80,5000,49
2,4,4000,4000,19,27,5000,50
3,4,4000,4000,81,115,5000,51
4,4,4000,4000,70,99,5000,52
5,4,4000,4000,98,139,5000,53
6,4,4000,4000,27,38,5000,54
7,4,4000,4000,261,372,5000,55
8,2,4000,4000,126,180,6000,66
9,2,4000,4000,157,223,6000,67
10,2,4000,4000,136,193,6000,68
11,2,4000,4000,208,296,6000,69
12,2,4000,4000,138,196,6000,70
13,2,4000,4000,646,922,6000,71
14,2,4000,4000,327,466,6000,72
15,2,4000,4000,93,132,6000,73
0,5,5000,5000,240,342,6000,58
1,5,5000,5000,56,80,6000,59
2,5,5000,5000,19,27,6000,60
3,5,5000,5000,81,115,6000,61
4,5,5000,5000,70,99,6000,62
5,5,5000,5000,98,139,6000,63
6,5,5000,5000,27,38,6000,64
7,5,5000,5000,261,372,6000,65
16,1,5000,5000,61,86,10000,122
17,1,5000,5000,283,404,10000,123
0,6,6000,6000,240,342,7000,74
1,6,6000,6000,56,80,7000,75
2,6,6000,6000,19,27,7000,76
3,6,6000,6000,81,115,7000,77
4,6,6000,6000,70,99,7000,78
5,6,6000,6000,98,139,7000,79
6,6,6000,6000,27,38,7000,80
7,6,6000,6000,261,372,7000,81
8,3,6000,6000,126,180,8000,90
9,3,6000,6000,157,223,8000,91
10,3,6000,6000,136,193,8000,92
11,3,6000,6000,208,296,8000,93
12,3,6000,6000,138,196,8000,94
13,3,6000,6000,646,922,8000,95
14,3,6000,6000,327,466,8000,96
15,3,6000,6000,93,132,8000,97
0,7,7000,7000,240,342,8000,82
1,7,7000,7000,56,80,8000,83
2,7,7000,7000,19,27,8000,84
3,7,7000,7000,81,115,8000,85
4,7,7000,7000,70,99,8000,86
5,7,7000,7000,98,139,8000,87
6,7,7000,7000,27,38,8000,88
7,7,7000,7000,261,372,8000,89
0,8,8000,8000,240,342,9000,98
1,8,8000,8000,56,80,9000,99
2,8,8000,8000,19,27,9000,100
3,8,8000,8000,81,115,9000,101
4,8,8000,8000,70,99,9000,102
5,8,8000,8000,98,139,9000,103
6,8,8000,8000,27,38,9000,104
7,8,8000,8000,261,372,9000,105
8,4,8000,8000,126,180,10000,114
9,4,8000,8000,157,223,10000,115
10,4,8000,8000,136,193,10000,116
11,4,8000,8000,208,296,10000,117
12,4,8000,8000,138,196,10000,118
13,4,8000,8000,646,922,10000,119
14,4,8000,8000,327,466,10000,120
15,4,8000,8000,93,132,10000,121
0,9,9000,9000,240,342,10000,106
1,9,9000,9000,56,80,10000,107
2,9,9000,9000,19,27,10000,108
3,9,9000,9000,81,115,10000,109
4,9,9000,9000,70,99,10000,110
5,9,9000,9000,98,139,10000,111
6,9,9000,9000,27,38,10000,112
7,9,9000,9000,261,372,10000,113
