Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 240, 342, 240, 342
1, 0, 56, 80, 56, 80
2, 0, 19, 27, 19, 27
3, 0, 81, 115, 81, 115
4, 0, 89, 126, 89, 126
5, 0, 154, 219, 154, 219
6, 0, 108, 153, 108, 153
7, 0, 350, 498, 350, 498
8, 0, 234, 333, 234, 333
9, 0, 311, 442, 311, 442
10, 0, 370, 526, 370, 526
11, 0, 448, 638, 448, 638
12, 0, 449, 638, 449, 638
13, 0, 996, 1420, 996, 1420
14, 0, 697, 992, 697, 992
15, 0, 541, 770, 541, 770
16, 0, 510, 724, 510, 724
17, 0, 793, 1128, 793, 1128
18, 0, 1195, 1703, 1195, 1703
19, 0, 1345, 1917, 1345, 1917
0, 1, 1240, 1470, 240, 470
1, 1, 1056, 1500, 56, 500
2, 1, 1075, 1497, 75, 497
3, 1, 1156, 1612, 156, 612
4, 1, 1226, 1599, 226, 599
5, 1, 1293, 1738, 293, 738
6, 1, 1253, 1650, 253, 650
7, 1, 1501, 2022, 501, 1022
